mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.519044446945191,0.1534900674530874,0.015630245208740234,4.837018834272674e-06,logistic,0.0001,200,[150],adaptive,0.011,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.011, 'solver': 'sgd'}",0.6096,0.6204,0.595,0.6056,0.5928,0.60468,0.010069836145638117,360
14.517935657501221,0.1228599704130093,0.010277891159057617,0.006704697606694262,logistic,0.0001,200,[150],adaptive,0.020999999999999998,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([150]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.020999999999999998, 'solver': 'sgd'}",0.6494,0.6498,0.6218,0.6214,0.6394,0.63636,0.01261516547652072,275
1.1450335025787353,0.04434211841073243,0.012578392028808593,0.0062909826888352125,logistic,0.0001,200,[200],constant,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.5,0.5,0.5,0.5,0.5056,0.50112,0.0022400000000000198,877
17.520854187011718,0.0878339561106224,0.012504005432128906,0.006252004583567879,logistic,0.0001,200,[200],constant,0.011,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'constant', 'learning_rate_init': 0.011, 'solver': 'sgd'}",0.6078,0.6194,0.6012,0.5876,0.5988,0.60296,0.01048839358529225,363
17.54906644821167,0.16919382037170025,0.019462394714355468,0.006048311906133282,logistic,0.0001,200,[200],constant,0.020999999999999998,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'constant', 'learning_rate_init': 0.020999999999999998, 'solver': 'sgd'}",0.6474,0.6536,0.6158,0.6282,0.636,0.6362,0.01347887235639538,278
1.1131883621215821,0.05643531894162623,0.0156402587890625,2.301844642640688e-05,logistic,0.0001,200,[200],invscaling,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'invscaling', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.4382,0.5,0.4998,0.4988,0.5046,0.48827999999999994,0.025120063694186786,970
1.3734113693237304,0.0939135518534697,0.006250715255737305,0.007655535239186885,logistic,0.0001,200,[200],invscaling,0.011,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'invscaling', 'learning_rate_init': 0.011, 'solver': 'sgd'}",0.4942,0.5792,0.4508,0.5096,0.4984,0.5064400000000001,0.0415072812889498,823
1.288264274597168,0.07259135315920688,0.01562643051147461,9.372003565071908e-06,logistic,0.0001,200,[200],invscaling,0.020999999999999998,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'invscaling', 'learning_rate_init': 0.020999999999999998, 'solver': 'sgd'}",0.5,0.5196,0.548,0.5362,0.5024,0.52124,0.018701187128094324,726
6.065878582000733,0.1609861611881667,0.015309715270996093,0.0006443277799214903,logistic,0.0001,200,[200],adaptive,0.001,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.552,0.53,0.5254,0.5212,0.4972,0.52516,0.017557402997026662,699
17.49355435371399,0.08619233715246954,0.011685991287231445,0.005382311463157731,logistic,0.0001,200,[200],adaptive,0.011,sgd,"{'activation': 'logistic', 'alpha': 0.0001, 'batch_size': 200, 'hidden_layer_sizes': array([200]), 'learning_rate': 'adaptive', 'learning_rate_init': 0.011, 'solver': 'sgd'}",0.5666,0.62,0.6032,0.5932,0.6002,0.5966400000000001,0.01741052555209061,374
